"Time";"Res_Aveleira";"Res_Espinheira";"Res_Albarqueira"
"2019-12-11 01:45:00";2.6638000861428575;2.459285714285715;3.485728558499999
"2019-12-11 02:00:00";2.682800086857143;2.5142857142857147;3.421735702285713
"2019-12-11 02:15:00";2.724600088214286;2.565357142857143;3.3690357022857143
"2019-12-11 02:30:00";2.7664000890000007;2.620357142857143;3.3200999880000004
"2019-12-11 02:45:00";2.800600090285713;2.6714285714285713;3.2711642737142865
"2019-12-11 03:00:00";2.823400091142856;2.695;3.293749988000001
"2019-12-11 03:15:00";2.853800092285714;2.695;3.3539785594285703
"2019-12-11 03:30:00";2.8994000934999997;2.695;3.4142071308571422
"2019-12-11 03:45:00";2.926000094;2.695;3.4593785587857133
"2019-12-11 04:00:00";2.971600095714286;2.695;3.4932571298571427
"2019-12-11 04:15:00";2.9906000964285715;2.695;3.512078558428571
"2019-12-11 04:30:00";3.0324000979999997;2.695;3.530899987
"2019-12-11 04:45:00";3.070400099428572;2.695;3.530899987
"2019-12-11 05:00:00";3.089400100071429;2.695;3.557249987
"2019-12-11 05:15:00";3.1388001010000006;2.695;3.583599987
"2019-12-11 05:30:00";3.17680010242857;2.695;3.6287714155714292
"2019-12-11 05:45:00";3.192000102999999;2.695;3.670178558428572
"2019-12-11 06:00:00";3.245200105;2.695;3.7078214152142857
"2019-12-11 06:15:00";3.268000105428572;2.695;3.7416999860000004
"2019-12-11 06:30:00";3.2984001060000003;2.6792857142857143;3.7416999860000004
"2019-12-11 06:45:00";3.328800107142857;2.64;3.7416999860000004
"2019-12-11 07:00:00";3.351600108;2.64;3.7416999860000004
"2019-12-11 07:15:00";3.378200108999999;2.64;3.7906357002857156
"2019-12-11 07:30:00";3.4048001099999996;2.64;3.7943999860000015
"2019-12-11 07:45:00";3.4048001099999996;2.64;3.7943999860000015
"2019-12-11 08:00:00";3.4352001111428576;2.64;3.7943999860000015
"2019-12-11 08:15:00";3.458000112;2.64;3.7943999860000015
"2019-12-11 08:30:00";3.458000112;2.64;3.7943999860000015
"2019-12-11 08:45:00";3.477000112357143;2.64;3.8282785574285723
"2019-12-11 09:00:00";3.458000112;2.64;3.8583928431428576
