Time,Time,Res_Albarqueira,Res_Aveleira,Res_Espinheira,PE_Aveleira,PE_Albarqueira,PE_Espinheira,P_Albarqueira,P_Aveleira,Val_Espinheira
2019-10-23 00:24:00,2019-10-23 00:24:00,-0.1699999993548387,-0.06864516322580622,0.0,507.4421048418947,1179.0315835736842,308.2421068869474,1,1,0
2019-10-23 02:05:00,2019-10-23 02:05:00,0.18784158356435626,0.15801980673267313,-0.032673267326732765,444.00000570000003,840.0,251.99998853999998,1,1,1
2019-10-23 02:06:00,2019-10-23 02:06:00,0.0,0.0,0.0,418.2857097814285,780.8571379714285,237.85714695000001,1,1,0
2019-10-23 02:14:00,2019-10-23 02:14:00,-0.3952499999999981,0.0,0.4125000000000012,395.99999429999997,858.0000114000001,264.00000570000003,1,1,1
2019-10-23 02:15:00,2019-10-23 02:15:00,0.0,0.0,0.0,438.7499964224999,829.50000285,263.2500028575,1,1,0
2019-10-23 02:24:00,2019-10-23 02:24:00,0.0,0.35466668000000057,0.36666666666666775,230.99999426999997,414.00000570000003,129.00000573000003,1,1,1
2019-10-23 02:25:00,2019-10-23 02:25:00,0.0,0.0,0.0,415.999999046,810.5999984800002,246.20000076599993,1,1,0
2019-10-23 02:41:00,2019-10-23 02:41:00,-0.19762499624999874,0.0,0.20624999999999893,425.99999429999997,870.0,251.99998853999998,1,1,1
2019-10-23 02:42:00,2019-10-23 02:42:00,0.0,0.0,0.0,417.6428573507143,2482.0714228285715,241.4999944864285,1,1,0
2019-10-23 02:57:00,2019-10-23 02:57:00,-0.21080000000000076,0.21280000800000032,0.22000000000000064,401.99998853999995,2717.9999543999998,251.99998853999998,1,1,1
2019-10-23 02:58:00,2019-10-23 02:58:00,0.0,0.0,-3.3000000000000096,450.0,2742.0000456000002,251.99998853999998,1,1,0
2019-10-23 02:59:00,2019-10-23 02:59:00,0.0,0.0,3.3000000000000096,401.99998853999995,2724.0000918,251.99998853999998,1,1,1
2019-10-23 03:00:00,2019-10-23 03:00:00,0.0,0.0,0.0,425.8333349266666,3139.3333371166664,252.66666253,1,1,0
2019-10-23 03:18:00,2019-10-23 03:18:00,-0.35133333333333316,0.17733334000000028,0.1833333333333324,431.99998853999995,2712.0000456000002,251.99998853999998,1,1,1
2019-10-23 03:19:00,2019-10-23 03:19:00,0.0,0.0,0.0,418.8461494430768,2720.9999964923077,251.30768813076918,1,1,0
2019-10-23 03:32:00,2019-10-23 03:32:00,-0.2432307692307701,0.24553846615384614,0.25384615384615455,395.99999429999997,2705.9999082000004,245.9999943,1,1,1
2019-10-23 03:33:00,2019-10-23 03:33:00,0.0,0.0,0.0,409.15384549153845,1828.8461626153849,253.6153837384615,1,1,0
2019-10-23 03:46:00,2019-10-23 03:46:00,-0.24323076461538512,0.0,0.25384615384615455,401.99998853999995,798.0000114000001,251.99998853999998,1,1,1
2019-10-23 03:47:00,2019-10-23 03:47:00,0.0,3.1920001200000048,0.0,424.07142877714284,1363.7142909642857,252.8571397971428,1,1,0
2019-10-23 04:01:00,2019-10-23 04:01:00,-0.22585714285714367,0.0,0.2357142857142845,431.99998853999995,876.0000228,258.00001146000005,1,1,1
2019-10-23 04:02:00,2019-10-23 04:02:00,3.1620000000000115,0.0,0.0,415.40000057199995,799.1999950599999,252.99999618399997,1,1,0
2019-10-23 04:17:00,2019-10-23 04:17:00,-0.21080000000000076,0.21280000799999854,0.22000000000000064,420.0,773.9999772,240.0,1,1,1
2019-10-23 04:18:00,2019-10-23 04:18:00,0.0,0.0,-3.3000000000000096,426.00000382,813.9999772,251.99998853999998,1,1,0
2019-10-23 04:21:00,2019-10-23 04:21:00,0.0,0.0,1.1000000000000032,395.99999429999997,840.0,245.9999943,1,1,1
